+-----+---------+--------+--------+-------+--------+--------------+-------+---------+--------+--------+---------+---------------------+
|     |   order |   scan | name   |   att |   coll |   wavelength |   det |   det_y |   temp |   moni |    time | name_hdf            |
|  75 |      75 | 080414 | K      |     0 |   18   |  4.99872e-09 |  18   |     0.4 |  24.99 |   1000 | 1726.18 | sans2021n080414.hdf |
|  76 |      76 | 080415 | L      |     0 |   18   |  4.99979e-09 |  18   |     0.4 |  25    |   1000 | 1725.64 | sans2021n080415.hdf |
|  77 |      77 | 080416 | M      |     0 |   18   |  4.99926e-09 |  18   |     0.4 |  25.01 |   1000 | 1714.11 | sans2021n080416.hdf |
|  78 |      78 | 080417 | N      |     0 |   18   |  5.0023e-09  |  18   |     0.4 |  25.01 |   1000 | 1681.89 | sans2021n080417.hdf |
|  79 |      79 | 080418 | O      |     0 |   18   |  5.00105e-09 |  18   |     0.4 |  25.01 |   1000 | 1681.46 | sans2021n080418.hdf |
|  80 |      80 | 080419 | P      |     0 |   18   |  4.99872e-09 |  18   |     0.4 |  25    |   1000 | 1675.94 | sans2021n080419.hdf |
|  81 |      81 | 080420 | Q      |     0 |   18   |  4.99926e-09 |  18   |     0.4 |  24.99 |   1000 | 1679    | sans2021n080420.hdf |
|  82 |      82 | 080421 | R      |     0 |   18   |  5.00105e-09 |  18   |     0.4 |  25.01 |   1000 | 1687.45 | sans2021n080421.hdf |
|  83 |      83 | 080422 | S      |     0 |   18   |  4.99979e-09 |  18   |     0.4 |  25.01 |   1000 | 1686.37 | sans2021n080422.hdf |
|  84 |      84 | 080423 | T      |     0 |   18   |  4.99747e-09 |  18   |     0.4 |  25.01 |   1000 | 1686.25 | sans2021n080423.hdf |
|  85 |      85 | 080424 | U      |     0 |   18   |  5.00284e-09 |  18   |     0.4 |  24.97 |   1000 | 1687.81 | sans2021n080424.hdf |
|  86 |      86 | 080425 | V      |     0 |   18   |  5.00105e-09 |  18   |     0.4 |  25.01 |   1000 | 1678.47 | sans2021n080425.hdf |
|  87 |      87 | 080426 | EC     |     0 |   18   |  4.99747e-09 |  18   |     0.4 |  25.01 |   1000 | 1681.15 | sans2021n080426.hdf |
|  88 |      88 | 080427 | A      |     0 |   18   |  5.00051e-09 |  18   |     0.4 |  24.99 |   1000 | 1675.75 | sans2021n080427.hdf |
|  89 |      89 | 080428 | B      |     0 |   18   |  4.99979e-09 |  18   |     0.4 |  24.97 |   1000 | 1682.2  | sans2021n080428.hdf |
|  90 |      90 | 080429 | C      |     0 |   18   |  4.99926e-09 |  18   |     0.4 |  24.99 |   1000 | 1680.89 | sans2021n080429.hdf |
|  91 |      91 | 080430 | D      |     0 |   18   |  4.99819e-09 |  18   |     0.4 |  24.98 |   1000 | 1679.55 | sans2021n080430.hdf |
|  92 |      92 | 080431 | E      |     0 |   18   |  5.0023e-09  |  18   |     0.4 |  25    |   1000 | 1669.8  | sans2021n080431.hdf |
|  93 |      93 | 080432 | F      |     0 |   18   |  5.00105e-09 |  18   |     0.4 |  25.01 |   1000 | 1670.02 | sans2021n080432.hdf |
|  94 |      94 | 080433 | G      |     0 |   18   |  4.99872e-09 |  18   |     0.4 |  25.02 |   1000 | 1672.28 | sans2021n080433.hdf |
|  95 |      95 | 080434 | H      |     0 |   18   |  4.99872e-09 |  18   |     0.4 |  25.01 |   1000 | 1690.62 | sans2021n080434.hdf |
|  96 |      96 | 080435 | I      |     0 |   18   |  4.99872e-09 |  18   |     0.4 |  25    |   1000 | 1744.46 | sans2021n080435.hdf |
|  97 |      97 | 080436 | H      |     0 |    4.5 |  5.00105e-09 |   4.5 |     0   |  25.01 |    500 |  859.3  | sans2021n080436.hdf |
|  98 |      98 | 080437 | I      |     0 |    4.5 |  5.0023e-09  |   4.5 |     0   |  25.01 |    500 |  859.74 | sans2021n080437.hdf |
|  99 |      99 | 080438 | J      |     0 |    4.5 |  4.99926e-09 |   4.5 |     0   |  25    |   1000 | 1720.98 | sans2021n080438.hdf |
| 100 |     100 | 080439 | K      |     0 |    4.5 |  5.00105e-09 |   4.5 |     0   |  25    |    500 |  862.65 | sans2021n080439.hdf |
| 101 |     101 | 080440 | L      |     0 |    4.5 |  5.00051e-09 |   4.5 |     0   |  25    |    500 |  870.2  | sans2021n080440.hdf |
| 102 |     102 | 080441 | M      |     0 |    4.5 |  4.99765e-09 |   4.5 |     0   |  24.98 |   1000 | 1719.36 | sans2021n080441.hdf |
| 103 |     103 | 080442 | N      |     0 |    4.5 |  4.99926e-09 |   4.5 |     0   |  25    |   1000 | 1743.4  | sans2021n080442.hdf |
| 104 |     104 | 080443 | O      |     0 |    4.5 |  5.00051e-09 |   4.5 |     0   |  25    |    500 |  859.41 | sans2021n080443.hdf |
| 105 |     105 | 080444 | P      |     0 |    4.5 |  5.00051e-09 |   4.5 |     0   |  24.99 |    500 |  859.98 | sans2021n080444.hdf |
| 106 |     106 | 080445 | Q      |     0 |    4.5 |  5.00033e-09 |   4.5 |     0   |  24.98 |    500 |  859.82 | sans2021n080445.hdf |
| 107 |     107 | 080446 | R      |     0 |    4.5 |  5.00158e-09 |   4.5 |     0   |  25    |    500 |  864.68 | sans2021n080446.hdf |
| 108 |     108 | 080447 | S      |     0 |    4.5 |  5.0023e-09  |   4.5 |     0   |  25    |   1000 | 1676.99 | sans2021n080447.hdf |
| 109 |     109 | 080448 | T      |     0 |    4.5 |  4.99872e-09 |   4.5 |     0   |  24.98 |   1000 | 1686.14 | sans2021n080448.hdf |
| 110 |     110 | 080449 | U      |     0 |    4.5 |  4.99997e-09 |   4.5 |     0   |  24.98 |    500 |  838.87 | sans2021n080449.hdf |
| 111 |     111 | 080450 | V      |     0 |    4.5 |  5.00105e-09 |   4.5 |     0   |  25    |    500 |  838.67 | sans2021n080450.hdf |
| 112 |     112 | 080451 | EC     |     0 |    4.5 |  5.00105e-09 |   4.5 |     0   |  24.99 |   2000 |  622.7  | sans2021n080451.hdf |
| 113 |     113 | 080458 | V      |     0 |    6   |  4.99747e-09 |   1.6 |     0   |  29.99 |    500 |  234.86 | sans2021n080458.hdf |
+-----+---------+--------+--------+-------+--------+--------------+-------+---------+--------+--------+---------+---------------------+
